,Airline_Fares_CPI,Brent_Oil,USD_EUR,log_Airline_Fares_CPI,log_Brent_Oil,log_USD_EUR
2010-01-01,273.454,76.60238095238095,1.4266,5.61113341758852,4.338628159192736,0.35529399086180075
2010-02-01,270.971,73.903,1.368,5.602011804083497,4.302753422529373,0.3133498192003588
2010-03-01,271.311,79.51913043478261,1.357,5.603265764364501,4.3759976271122545,0.30527638085273207
2010-04-01,273.533,85.15636363636364,1.3417,5.611422272718712,4.444489138742099,0.2939374666142889
2010-05-01,275.82,76.13238095238096,1.2563,5.619748479046192,4.332473679653466,0.2281708930282351
2010-06-01,277.651,75.24636363636364,1.2223,5.626364929337893,4.3207675786921005,0.20073432980108
2010-07-01,279.192,75.195,1.2811,5.631899717182575,4.320084739383576,0.2477190838802509
2010-08-01,279.262,76.89181818181818,1.2903,5.63215040927312,4.342399475296159,0.2548747494756633
2010-09-01,278.873,77.93818181818182,1.3103,5.630756481055084,4.355915971670561,0.27025611862840254
2010-10-01,279.58,83.33857142857143,1.3901,5.633288477042982,4.422911484361566,0.3293756870009098
2010-11-01,286.247,85.80090909090909,1.3654,5.656855074464185,4.452029601902926,0.31144742600204284
2010-12-01,293.446,91.96,1.3221,5.681693635969203,4.521353699894981,0.279221381533914
2011-01-01,301.088,96.95238095238095,1.3371,5.707402580824355,4.574219939946991,0.29050308963848276
2011-02-01,304.572,104.2385,1.3656,5.71890751240127,4.646681542843523,0.31159389249809377
2011-03-01,306.515,114.9173913043478,1.402,5.72526669381987,4.744213533752044,0.3378997886123983
2011-04-01,302.541,123.3257142857143,1.446,5.712216805476643,4.814828939000165,0.3688011237365729
2011-05-01,292.694,114.9295454545455,1.4335,5.6791276946835,4.7443192923963,0.36011900634128746
2011-06-01,294.743,114.3704545454545,1.4403,5.68610379019569,4.739442781126877,0.36485142522286723
2011-07-01,304.773,117.4833333333333,1.4275,5.719567237211649,4.766296479551775,0.35592466254802824
2011-08-01,316.044,110.3547826086957,1.4333,5.755881444400182,4.703700472123304,0.35997947794703294
2011-09-01,314.655,111.9627272727273,1.3747,5.751476800518862,4.718166023699687,0.3182355254952373
2011-10-01,306.827,110.4295238095238,1.3732,5.726284070835993,4.70437752390199,0.3171437826013999
2011-11-01,297.966,111.1586363636364,1.3558,5.696979386036462,4.710958337469411,0.3043916860147281
2011-12-01,307.069,108.3477272727273,1.3155,5.727072478033745,4.685345751968439,0.2742168214982103
2012-01-01,308.335,111.415,1.291,5.731186854235112,4.713261968338932,0.2554171118645054
2012-02-01,306.081,119.1657142857143,1.3238,5.723849772806313,4.780515081426024,0.28050638870268546
2012-03-01,308.237,124.7031818181818,1.3208,5.730868967594702,4.825936368143803,0.2782376136237812
2012-04-01,304.81,120.47,1.316,5.719688631673257,4.791400759278761,0.2745968329031255
2012-05-01,294.883,110.8221739130435,1.2806,5.686578667499713,4.707926879859718,0.24732871810256474
2012-06-01,287.712,95.88904761904762,1.2541,5.661959979802362,4.5631917691009125,0.22641818384786702
2012-07-01,302.202,102.9795454545455,1.2278,5.711095667950426,4.634530380688517,0.20522395001125893
2012-08-01,312.195,113.7804347826087,1.2406,5.7436279925783245,4.734270580572088,0.21559513355688004
2012-09-01,312.078,113.6415,1.2885,5.743253156564689,4.733048756476487,0.2534787511102827
2012-10-01,308.022,111.7926086956522,1.2974,5.730171208994104,4.716645446689827,0.26036226179681804
2012-11-01,301.966,109.9118181818182,1.2837,5.710314428255495,4.699678391404344,0.24974653310874384
2012-12-01,316.876,109.5690476190476,1.3119,5.7585105301590085,4.696554922393103,0.2714764681048476
2013-01-01,320.958,112.5278260869565,1.3304,5.771310273448075,4.723200534055408,0.2854796488965809
2013-02-01,316.62,116.488,1.3347,5.757702316645632,4.757788263408603,0.28870654749796876
2013-03-01,322.645,109.5857142857143,1.2953,5.776552647593558,4.696707021909938,0.25874232855407314
2013-04-01,310.843,102.96,1.3025,5.739287961562002,4.634340563287871,0.2642854946453849
2013-05-01,298.615,102.9804347826087,1.2983,5.699155118270711,4.634539016619266,0.2610557163840707
2013-06-01,296.647,103.3585,1.3197,5.692542879725823,4.638203527545085,0.2774044380406468
2013-07-01,311.074,107.7795652173913,1.3088,5.7400308259976836,4.680088078514947,0.26911068686634554
2013-08-01,317.28,111.0581818181818,1.3314,5.759784664771486,4.710054224512351,0.2862310201844661
2013-09-01,316.426,111.9628571428571,1.3364,5.757089406980068,4.718167183639764,0.28997943150046446
2013-10-01,315.445,109.6186956521739,1.3646,5.753984340318716,4.6970079407346805,0.31086134539918625
2013-11-01,315.808,108.1504761904762,1.3491,5.755134433989596,4.683523555445095,0.2994377034626343
2013-12-01,314.891,111.0704545454545,1.3708,5.752226547196802,4.710164725593942,0.3153945110183167
2014-01-01,304.438,107.9269565217391,1.3618,5.718467453938642,4.681454669808508,0.30880735406672916
2014-02-01,302.328,108.838,1.3665,5.711512520718111,4.689860538149005,0.31225272638598567
2014-03-01,305.804,107.8680952380952,1.3828,5.722944373854149,4.680909140292203,0.32411042906533244
2014-04-01,307.536,108.0036363636364,1.381,5.728592153564775,4.682164896591067,0.3228078744271551
2014-05-01,314.119,109.8322727272727,1.3739,5.749771895004854,4.698954408723482,0.3176534109477654
2014-06-01,314.699,112.2409523809524,1.3595,5.751616626435824,4.720647920976956,0.3071169850903883
2014-07-01,311.679,107.4626086956522,1.3533,5.741973812030132,4.677142960975237,0.30254605410032287
2014-08-01,309.923,102.4019047619048,1.3315,5.736323879529234,4.628905313622884,0.2863061262718498
2014-09-01,306.111,97.85272727272726,1.2889,5.723947781274323,4.583463565428398,0.25378914142859677
2014-10-01,307.357,87.58478260869565,1.2677,5.728009938431227,4.472607268339625,0.237204234962544
2014-11-01,305.983,79.2295,1.2473,5.723529544853558,4.372348704216357,0.22098121514952643
2014-12-01,301.037,62.90391304347826,1.2329,5.70723318078243,4.141608372319543,0.2093691178923701
2015-01-01,295.273,48.93318181818182,1.1615,5.687900352128092,3.8904557311488297,0.14971227322832675
2015-02-01,293.524,58.254,1.135,5.68195940764564,4.064812759616062,0.126632650933366
2015-03-01,290.945,56.52454545454545,1.0819,5.673134245871666,4.034674976637591,0.07871875471139075
2015-04-01,285.424,59.82636363636364,1.0822,5.653975794008912,4.091446427289175,0.07899600622649788
2015-05-01,293.265,65.19380952380952,1.1167,5.681076637120563,4.177364518471113,0.11037790746960939
